,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,20.34,97,100,4.14,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,73.09,58,0,10.36,clear sky
2,Port Hardy,CA,50.6996,-127.4199,53.55,91,77,5.41,broken clouds
3,Diffa,NE,13.3154,12.6113,94.44,15,1,12.75,clear sky
4,Hithadhoo,MV,-0.6,73.0833,81.88,70,97,9.44,overcast clouds
5,Cayenne,GF,4.9333,-52.3333,89.64,55,0,9.22,clear sky
6,Aksu,CN,41.1231,80.2644,60.42,20,100,2.28,overcast clouds
7,Soc Trang,VN,9.6033,105.98,75.96,89,60,5.75,broken clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,61,0,20.71,clear sky
9,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,74,90,16.31,overcast clouds
10,Albany,US,42.6001,-73.9662,51.94,91,100,5.99,overcast clouds
11,Henties Bay,NA,-22.116,14.2845,61.52,83,7,11.61,clear sky
12,Tasiilaq,GL,65.6145,-37.6368,35.76,72,69,2.82,broken clouds
13,Bethel,US,41.3712,-73.414,63.48,87,100,5.75,overcast clouds
14,Lebu,CL,-37.6167,-73.65,59.34,74,46,7.11,scattered clouds
15,Port Hedland,AU,-20.3167,118.5667,69.85,78,3,9.22,clear sky
16,Port Alfred,ZA,-33.5906,26.891,69.19,77,34,1.01,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,56.86,41,0,9.22,clear sky
18,Vardo,NO,70.3705,31.1107,42.78,87,75,9.22,broken clouds
19,Port Hawkesbury,CA,45.6169,-61.3485,64.18,89,100,10.36,overcast clouds
20,Meadow Lake,US,34.8014,-106.5436,53.4,68,100,7.29,overcast clouds
21,Hobart,AU,-42.8794,147.3294,44.46,89,26,5.75,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,68.52,67,65,19.73,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,59.11,36,0,27.63,clear sky
24,Lac Du Bonnet,CA,50.2536,-96.0612,26.47,47,8,8.28,clear sky
25,Baruun-Urt,MN,46.6806,113.2792,26.31,29,2,4.63,clear sky
26,Chuy,UY,-33.6971,-53.4616,64.0,71,74,18.01,broken clouds
27,Kapaa,US,22.0752,-159.319,73.72,87,75,4.61,broken clouds
28,Sitka,US,57.0531,-135.33,53.49,87,100,8.05,moderate rain
29,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
30,Bambanglipuro,ID,-7.95,110.2833,77.11,89,100,6.26,overcast clouds
31,Chokurdakh,RU,70.6333,147.9167,13.71,96,99,9.57,overcast clouds
32,Ketchikan,US,55.3422,-131.6461,57.67,88,100,14.97,moderate rain
33,Torbay,CA,47.6666,-52.7314,60.39,97,100,33.38,drizzle
34,Kahului,US,20.8947,-156.47,77.85,68,0,4.0,clear sky
35,Zeya,RU,53.75,127.2667,29.08,74,11,5.1,few clouds
36,Half Moon Bay,US,37.4636,-122.4286,63.01,88,0,0.0,clear sky
37,Grindavik,IS,63.8424,-22.4338,43.27,65,75,9.22,broken clouds
38,Atuona,PF,-9.8,-139.0333,76.26,77,6,14.14,clear sky
39,Namibe,AO,-15.1961,12.1522,71.38,82,23,16.67,few clouds
40,Mataura,NZ,-46.1927,168.8643,40.19,95,96,2.1,light rain
41,Puerto Ayora,EC,-0.7393,-90.3518,73.36,80,100,8.01,overcast clouds
42,Bluff,NZ,-46.6,168.3333,43.99,90,100,17.31,light rain
43,Ribeira Grande,PT,38.5167,-28.7,61.77,63,40,18.99,light rain
44,Puerto Escondido,MX,15.85,-97.0667,81.43,69,100,3.44,overcast clouds
45,Mount Isa,AU,-20.7333,139.5,80.37,57,40,5.75,light intensity shower rain
46,Butaritari,KI,3.0707,172.7902,80.38,80,95,14.88,light rain
47,Upernavik,GL,72.7868,-56.1549,37.38,95,100,26.08,light rain
48,Asau,RO,46.4333,26.4,49.28,62,2,0.94,clear sky
49,Nazareno Etla,MX,17.1783,-96.8239,66.99,71,100,2.21,overcast clouds
50,Aliwal North,ZA,-30.6937,26.7114,73.29,35,100,2.86,overcast clouds
51,Pemba,MZ,-12.974,40.5178,77.7,78,0,10.36,clear sky
52,Ahome,MX,25.9167,-109.1833,78.75,51,0,10.13,clear sky
53,Matagami,CA,49.7502,-77.6328,42.91,87,100,16.11,overcast clouds
54,Severo-Kurilsk,RU,50.6789,156.125,50.7,95,92,20.54,light rain
55,Qaanaaq,GL,77.484,-69.3632,10.44,83,100,2.62,overcast clouds
56,Kailua,US,21.4022,-157.7394,74.44,81,55,7.61,broken clouds
57,Barrow,US,71.2906,-156.7887,28.42,86,100,16.11,overcast clouds
58,Tuatapere,NZ,-46.1333,167.6833,42.66,96,98,9.01,overcast clouds
59,Busselton,AU,-33.65,115.3333,50.31,88,0,7.31,clear sky
60,Yellowknife,CA,62.456,-114.3525,34.32,93,75,13.8,broken clouds
61,Cherskiy,RU,68.75,161.3,-8.43,99,63,4.9,broken clouds
62,Jaciara,BR,-15.9653,-54.9683,104.23,14,11,4.61,few clouds
63,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,81,40,4.61,scattered clouds
64,Flinders,AU,-34.5833,150.8552,59.18,87,85,3.0,overcast clouds
65,Makakilo City,US,21.3469,-158.0858,72.99,83,0,4.61,clear sky
66,Pangnirtung,CA,66.1451,-65.7125,37.4,75,100,12.66,overcast clouds
67,Roma,US,43.2128,-75.4557,56.68,76,100,8.05,overcast clouds
68,Nandi,IN,13.3855,77.6984,71.02,89,94,5.99,moderate rain
69,Novo Aripuana,BR,-5.1206,-60.3797,97.21,38,97,2.48,overcast clouds
70,Fortuna,US,40.5982,-124.1573,59.94,85,0,5.75,clear sky
71,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,100,6.91,overcast clouds
72,Bilma,NE,18.6853,12.9164,92.26,15,0,5.44,clear sky
73,Magnolia,US,33.2671,-93.2393,65.89,42,99,8.01,overcast clouds
74,Unhel,IN,23.3333,75.5667,70.7,61,1,5.35,clear sky
75,Alofi,NU,-19.0595,-169.9187,66.09,100,40,1.14,scattered clouds
76,Jimenez,MX,28.3333,-105.4,67.12,72,58,11.16,broken clouds
77,Neiafu,TO,-18.65,-173.9833,77.68,88,20,2.3,few clouds
78,Bredasdorp,ZA,-34.5322,20.0403,66.99,74,70,13.67,broken clouds
79,Kostomuksha,RU,64.571,30.5767,39.65,86,31,14.67,scattered clouds
80,Nabire,ID,-3.3667,135.4833,76.26,89,94,3.09,overcast clouds
81,Batemans Bay,AU,-35.7167,150.1833,59.09,90,84,3.38,broken clouds
82,Thompson,CA,55.7435,-97.8558,24.96,80,75,3.44,broken clouds
83,Vieques,PR,18.425,-65.8329,87.85,74,40,9.22,scattered clouds
84,Hermanus,ZA,-34.4187,19.2345,64.8,87,79,6.11,broken clouds
85,Cabo San Lucas,MX,22.8909,-109.9124,81.61,65,20,3.44,few clouds
86,Tiksi,RU,71.6872,128.8694,12.38,89,93,16.53,overcast clouds
87,Aykhal,RU,66.0,111.5,17.44,96,100,6.22,overcast clouds
88,Shalinskoye,RU,55.7228,93.7594,43.9,59,100,13.18,overcast clouds
89,Basco,PH,20.4487,121.9702,80.74,83,81,18.32,broken clouds
90,Sorland,NO,67.667,12.6934,45.16,62,87,19.62,overcast clouds
91,Waipawa,NZ,-41.4122,175.5153,45.39,88,70,4.72,broken clouds
92,Kloulklubed,PW,7.0419,134.2556,77.5,75,67,8.7,broken clouds
93,Saint-Augustin,CA,51.226,-58.6502,47.91,96,100,13.02,light rain
94,Banjarmasin,ID,-3.3244,114.591,75.34,92,99,1.57,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,64.42,80,20,14.0,few clouds
96,Meiganga,CM,6.5167,14.3,74.17,82,69,3.51,light rain
97,Leshukonskoye,RU,64.8989,45.7622,46.69,81,100,10.09,overcast clouds
98,Airai,TL,-8.9266,125.4092,62.89,93,100,0.22,overcast clouds
99,Taoudenni,ML,22.6783,-3.9836,102.76,8,2,9.46,clear sky
100,Atasu,KZ,48.6814,71.6433,40.8,56,52,6.33,broken clouds
101,Edd,ER,13.9297,41.6925,91.56,49,5,16.28,clear sky
102,Geraldton,AU,-28.7667,114.6,55.81,76,0,11.5,clear sky
103,Kaitangata,NZ,-46.2817,169.8464,42.75,95,98,5.73,light rain
104,Manado,ID,1.487,124.8455,77.77,94,40,2.3,scattered clouds
105,Mahebourg,MU,-20.4081,57.7,71.89,73,40,5.75,scattered clouds
106,Labelle,US,26.7617,-81.4384,88.05,61,30,7.2,scattered clouds
107,Mackenzie,CA,55.2999,-123.1698,35.82,93,0,5.75,clear sky
108,Ilulissat,GL,69.2167,-51.1,35.62,93,100,3.44,light rain
109,Port Elizabeth,ZA,-33.918,25.5701,72.1,88,75,20.71,broken clouds
110,Georgetown,MY,5.4112,100.3354,82.35,81,20,0.0,moderate rain
111,Koath,IN,25.3167,84.2667,70.7,61,2,5.64,clear sky
112,Belmonte,BR,-15.8631,-38.8828,80.62,65,31,9.4,scattered clouds
113,Lazaro Cardenas,MX,17.9583,-102.2,82.49,81,97,3.58,moderate rain
114,Jurbarkas,LT,55.0778,22.7664,56.64,73,87,4.92,overcast clouds
115,Jamestown,US,42.097,-79.2353,50.02,43,75,17.27,broken clouds
116,Naze,JP,28.3667,129.4833,68.92,85,100,20.96,light rain
117,Esperance,AU,-33.8667,121.9,55.71,75,0,14.81,clear sky
118,Touros,BR,-5.1989,-35.4608,84.22,59,100,18.9,overcast clouds
119,Dikson,RU,73.5069,80.5464,31.93,85,65,12.97,broken clouds
120,Nizwa,OM,22.9333,57.5333,82.69,22,100,3.06,overcast clouds
121,Barvinkove,UA,48.9097,37.0205,48.61,54,1,3.09,clear sky
122,Vao,NC,-22.6667,167.4833,72.54,73,97,3.4,overcast clouds
123,Grand Gaube,MU,-20.0064,57.6608,72.0,72,4,1.99,clear sky
124,Salalah,OM,17.0151,54.0924,80.69,74,0,4.61,clear sky
125,Dovhe,UA,48.3653,23.279,58.96,72,23,1.16,few clouds
126,Kruisfontein,ZA,-34.0033,24.7314,69.89,65,10,14.97,clear sky
127,Yeppoon,AU,-23.1333,150.7333,69.58,90,50,6.8,scattered clouds
128,Katsuura,JP,35.1333,140.3,71.94,88,100,16.22,light rain
129,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.42,68,72,11.92,broken clouds
130,Avarua,CK,-21.2078,-159.775,71.65,78,20,4.61,few clouds
131,Kuminskiy,RU,58.6667,66.5667,40.14,89,100,3.38,overcast clouds
132,Altay,CN,47.8667,88.1167,51.4,40,100,6.26,light rain
133,Kamenka,RU,51.3223,42.7678,42.44,64,81,7.76,broken clouds
134,Saldanha,ZA,-33.0117,17.9442,68.05,87,82,11.1,broken clouds
135,Nagai,JP,38.1036,140.035,56.97,94,100,3.98,light rain
136,Saint-Joseph,RE,-21.3667,55.6167,71.98,82,47,10.51,scattered clouds
137,College,US,64.8569,-147.8028,27.07,91,75,4.61,broken clouds
138,Stornoway,GB,58.2093,-6.3865,51.76,85,40,18.41,scattered clouds
139,Muros,ES,42.7762,-9.0603,68.68,88,22,9.04,few clouds
140,Novobirilyussy,RU,56.9514,90.6661,45.28,90,100,10.96,light rain
141,Chas,IN,23.6333,86.1667,76.73,72,27,4.21,scattered clouds
142,Urumqi,CN,43.801,87.6005,54.55,26,0,4.47,clear sky
143,Sioux Lookout,CA,50.1001,-91.917,24.87,68,75,13.8,broken clouds
144,Azanja,RS,44.4339,20.8759,58.68,60,14,5.12,few clouds
145,Tahta,EG,26.7693,31.5021,81.7,33,0,10.27,clear sky
146,Faanui,PF,-16.4833,-151.75,78.6,76,9,17.18,clear sky
147,Sinop,TR,41.7711,34.8709,54.34,97,100,2.59,overcast clouds
148,Senador Jose Porfirio,BR,-2.5908,-51.9542,86.4,60,34,2.33,scattered clouds
149,Meulaboh,ID,4.1363,96.1285,77.54,85,78,5.23,broken clouds
150,Castro,BR,-24.7911,-50.0119,75.29,60,50,1.07,scattered clouds
151,Sao Filipe,CV,14.8961,-24.4956,79.43,75,77,7.34,broken clouds
152,Caravelas,BR,-17.7125,-39.2481,81.27,64,44,10.58,scattered clouds
153,Tazmalt,DZ,36.3868,4.3989,89.83,27,16,6.42,few clouds
154,Dingle,PH,10.9995,122.6711,76.77,89,100,6.2,light rain
155,Luquillo,PR,18.3725,-65.7166,87.76,70,0,6.91,clear sky
156,Broken Hill,AU,-31.95,141.4333,64.15,38,100,14.25,overcast clouds
157,Betanzos,ES,43.2804,-8.2147,72.52,69,40,12.66,scattered clouds
158,Walvis Bay,NA,-22.9575,14.5053,64.33,71,38,13.13,scattered clouds
159,Yulara,AU,-25.2406,130.9889,65.37,52,39,21.79,scattered clouds
160,Wattegama,LK,6.7989,81.4808,75.67,92,100,1.28,light rain
161,Faya,SA,18.3851,42.4509,68.11,44,51,2.73,broken clouds
162,Praya,CV,14.9215,-23.5087,84.74,61,20,18.41,few clouds
163,Provideniya,RU,64.3833,-173.3,28.18,86,100,6.42,overcast clouds
164,Princeton,US,25.5384,-80.4089,89.02,71,40,6.91,scattered clouds
165,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,5.75,scattered clouds
166,Banjar,ID,-8.19,114.9675,77.36,92,100,6.17,overcast clouds
167,Tupancireta,BR,-29.0806,-53.8358,69.96,54,33,9.78,scattered clouds
168,New Norfolk,AU,-42.7826,147.0587,44.1,70,39,2.48,scattered clouds
169,Noumea,NC,-22.2763,166.4572,75.99,99,98,2.68,overcast clouds
170,Saint George,US,37.1041,-113.5841,68.43,36,0,3.44,clear sky
171,Thomaston,US,32.8882,-84.3266,75.06,66,100,1.01,overcast clouds
172,Petit Goave,HT,18.4314,-72.8669,83.62,69,10,0.18,light rain
173,Sistranda,NO,63.7256,8.834,46.36,78,92,5.26,overcast clouds
174,Maceio,BR,-9.6658,-35.7353,83.64,57,75,17.27,broken clouds
175,Homer,US,59.6425,-151.5483,43.81,93,100,3.0,moderate rain
176,Jaszalsoszentgyorgy,HU,47.3667,20.1,64.38,46,67,3.71,broken clouds
177,Hasaki,JP,35.7333,140.8333,66.6,89,100,14.45,light rain
178,Lorengau,PG,-2.0226,147.2712,80.51,80,97,6.26,overcast clouds
179,Bolobo,CD,-2.1667,16.2333,82.67,65,81,0.98,broken clouds
180,Leningradskiy,RU,69.3833,178.4167,14.56,92,100,7.38,overcast clouds
181,Clyde River,CA,70.4692,-68.5914,26.83,93,100,17.27,overcast clouds
182,Yinchuan,CN,38.4681,106.2731,50.41,22,0,2.1,clear sky
183,Jaguarari,BR,-10.2639,-40.1958,88.39,24,0,10.49,clear sky
184,Klaksvik,FO,62.2266,-6.589,47.32,85,81,31.45,broken clouds
185,Vostok,RU,46.4856,135.8833,26.89,94,87,4.29,overcast clouds
186,Hilo,US,19.7297,-155.09,71.26,68,20,8.05,few clouds
187,Chifeng,CN,42.2683,118.9636,35.17,30,0,3.29,clear sky
188,Deputatskiy,RU,69.3,139.9,10.54,91,100,6.06,overcast clouds
189,Vung Tau,VN,10.346,107.0843,80.19,79,91,7.34,overcast clouds
190,San Lorenzo De El Escorial,ES,40.5914,-4.1474,77.04,49,63,7.7,broken clouds
191,Lasa,IT,46.6166,10.7002,61.36,76,36,2.95,scattered clouds
192,Kungalv,SE,57.871,11.9805,55.11,96,100,9.37,light rain
193,Portland,US,45.5234,-122.6762,57.94,91,75,4.0,fog
194,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,40,17.27,scattered clouds
195,Nikolskoye,RU,59.7035,30.7861,49.91,82,42,11.54,scattered clouds
196,Krasnyye Baki,RU,57.131,45.1599,42.94,83,100,13.2,overcast clouds
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,93,100,4.61,light rain
198,Hami,CN,42.8,93.45,57.67,19,1,4.81,clear sky
199,Utica,US,43.1009,-75.2327,56.64,72,100,9.44,overcast clouds
200,Barentu,ER,15.1139,37.5928,88.07,23,57,8.3,broken clouds
201,East London,ZA,-33.0153,27.9116,68.94,77,0,8.05,clear sky
202,Klyuchi,RU,52.2667,79.1667,47.26,57,100,9.24,light rain
203,Gwadar,PK,25.1216,62.3254,80.4,70,0,12.1,clear sky
204,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,88,75,5.99,broken clouds
205,Mayumba,GA,-3.432,10.6554,80.08,79,27,9.98,scattered clouds
206,Vanimo,PG,-2.6741,141.3028,77.49,89,98,3.53,overcast clouds
207,Yankton,US,42.8711,-97.3973,36.12,48,0,16.11,clear sky
208,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,73.42,57,98,5.77,overcast clouds
209,Shimoda,JP,34.6667,138.95,66.11,87,100,11.99,light rain
210,Tura,IN,25.5198,90.2201,70.66,94,11,3.18,few clouds
211,Mayo,US,38.8876,-76.5119,69.94,75,20,8.99,few clouds
212,Pevek,RU,69.7008,170.3133,3.27,97,81,5.01,broken clouds
213,Ilinskiy,RU,55.619,38.1182,46.53,87,75,8.99,broken clouds
214,Hvide Sande,DK,56.0045,8.1294,59.09,94,100,18.79,overcast clouds
215,Victoria,HK,22.2855,114.1577,80.65,67,100,25.64,overcast clouds
216,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,5.75,overcast clouds
217,Bairiki,KI,1.3292,172.9752,80.6,89,40,13.8,light rain
218,Visnes,NO,59.3556,5.2242,54.21,82,40,13.8,scattered clouds
219,Talnakh,RU,69.4865,88.3972,29.21,97,100,6.73,light snow
220,Lompoc,US,34.6391,-120.4579,60.85,95,100,6.91,mist
221,Save,BJ,8.0425,2.486,85.98,63,73,5.17,broken clouds
222,Ambunti,PG,-4.2365,142.8448,73.09,99,100,1.92,overcast clouds
223,Narsaq,GL,60.9167,-46.05,34.02,71,100,4.32,overcast clouds
224,Cootamundra,AU,-34.65,148.0333,51.94,89,86,8.48,overcast clouds
225,Taltal,CL,-25.4,-70.4833,64.36,58,2,6.31,clear sky
226,Umm Kaddadah,SD,13.6017,26.6876,92.88,13,100,8.46,overcast clouds
